TITLE     = "dt=0.100000s, t=800.951477s, nu=0.000018, Lx=-1073741824, Ly=1073972510, Lz-1073741824, Nx=1073972510, Ny=-1073741824, Nz=1073972510"
VARIABLES = "Y"
"U/Umax"
ZONE T="Extracted Points"
 STRANDID=0, SOLUTIONTIME=0
 I=100, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.704287822E-009 4.432016143E-010
 2.464646474E-002 8.423141204E-003
 4.929292947E-002 1.684628241E-002
 7.393939048E-002 2.045632526E-002
 9.858585894E-002 2.374556847E-002
 1.232323200E-001 2.703481168E-002
 1.478787810E-001 3.032405674E-002
 1.725252569E-001 3.193033487E-002
 1.971717179E-001 3.314824030E-002
 2.218181789E-001 3.436614573E-002
 2.464646399E-001 3.558404744E-002
 2.711111009E-001 3.542416915E-002
 2.957575619E-001 3.463798389E-002
 3.204040527E-001 3.385179862E-002
 3.450505137E-001 3.306561336E-002
 3.696969748E-001 3.190196678E-002
 3.943434358E-001 3.044475801E-002
 4.189898968E-001 2.898754925E-002
 4.436363578E-001 2.753034048E-002
 4.682828188E-001 2.563139983E-002
 4.929292798E-001 2.316451818E-002
 5.175757408E-001 2.069763653E-002
 5.422222018E-001 1.823075488E-002
 5.668686628E-001 1.553267706E-002
 5.915151238E-001 1.232592948E-002
 6.161616445E-001 9.119182825E-003
 6.408081055E-001 5.912436172E-003
 6.654545665E-001 2.705689054E-003
 6.901010275E-001 0.000000000E+000
 7.147474885E-001 0.000000000E+000
 7.393939495E-001 0.000000000E+000
 7.640404105E-001 0.000000000E+000
 7.886868715E-001 0.000000000E+000
 8.133333325E-001 0.000000000E+000
 8.379797935E-001 0.000000000E+000
 8.626262546E-001 0.000000000E+000
 8.872727156E-001 0.000000000E+000
 9.119191766E-001 0.000000000E+000
 9.365656376E-001 0.000000000E+000
 9.612120986E-001 0.000000000E+000
 9.858585596E-001 0.000000000E+000
 1.010505080E+000 0.000000000E+000
 1.035151482E+000 0.000000000E+000
 1.059798002E+000 0.000000000E+000
 1.084444404E+000 0.000000000E+000
 1.109090924E+000 0.000000000E+000
 1.133737326E+000 0.000000000E+000
 1.158383846E+000 0.000000000E+000
 1.183030248E+000 0.000000000E+000
 1.207676768E+000 0.000000000E+000
 1.232323289E+000 0.000000000E+000
 1.256969690E+000 0.000000000E+000
 1.281616211E+000 0.000000000E+000
 1.306262612E+000 0.000000000E+000
 1.330909133E+000 0.000000000E+000
 1.355555534E+000 0.000000000E+000
 1.380202055E+000 0.000000000E+000
 1.404848456E+000 0.000000000E+000
 1.429494977E+000 0.000000000E+000
 1.454141378E+000 0.000000000E+000
 1.478787899E+000 0.000000000E+000
 1.503434300E+000 0.000000000E+000
 1.528080821E+000 0.000000000E+000
 1.552727222E+000 0.000000000E+000
 1.577373743E+000 0.000000000E+000
 1.602020144E+000 0.000000000E+000
 1.626666665E+000 0.000000000E+000
 1.651313186E+000 0.000000000E+000
 1.675959587E+000 0.000000000E+000
 1.700606108E+000 0.000000000E+000
 1.725252509E+000 0.000000000E+000
 1.749899030E+000 0.000000000E+000
 1.774545431E+000 1.065893099E-002
 1.799191952E+000 2.329171821E-002
 1.823838353E+000 3.592450544E-002
 1.848484874E+000 4.855729267E-002
 1.873131275E+000 6.119007990E-002
 1.897777796E+000 6.888447702E-002
 1.922424197E+000 7.433427125E-002
 1.947070718E+000 7.978407294E-002
 1.971717119E+000 8.523387462E-002
 1.996363640E+000 8.874453604E-002
 2.021010160E+000 9.074699134E-002
 2.045656681E+000 9.274944663E-002
 2.070302963E+000 9.475190192E-002
 2.094949484E+000 9.498367459E-002
 2.119596004E+000 9.293872118E-002
 2.144242525E+000 9.089377522E-002
 2.168888807E+000 8.884882182E-002
 2.193535328E+000 8.744085580E-002
 2.218181849E+000 8.743415028E-002
 2.242828369E+000 8.742744476E-002
 2.267474651E+000 8.742073923E-002
 2.292121172E+000 9.509705752E-002
 2.316767693E+000 1.360656172E-001
 2.341414213E+000 1.770341694E-001
 2.366060495E+000 2.180027366E-001
 2.390707016E+000 2.593166232E-001
 2.415353537E+000 3.058119118E-001
 2.440000057E+000 3.523072004E-001
